"DATE", "UVINDEX"
20230406,8.916323247
20230407,8.690527588
20230408,9.239522146
20230409,8.873409192
20230410,9.013663658
20230411,9.263725833
20230412,9.349059691
20230413,8.458296182
20230414,8.214204822
20230415,8.073818416
20230416,8.275073208
20230417,7.756450014
20230418,7.689271539
20230419,7.896624898
20230420,8.26870029
20230421,7.786678967
20230422,7.597493556
20230423,7.682831603
20230424,7.402134184
20230425,6.993327075
20230426,6.80413957
20230427,6.749156133
20230428,6.64537788
20230429,6.492804812
20230430,6.523226439
20230501,6.651273301
20230502,6.724416309
20230503,6.095985407
20230504,6.181323454
20230505,6.840129909
20230506,6.687548463
20230507,6.443450821
20230508,6.174956818
20230509,6.260288582
20230510,6.101610665
20230511,5.857515117
20230512,5.503607673
20230513,5.582847153
20230514,5.88171252
20230515,5.558306286
20230516,5.234912618
20230517,5.198235353
20230518,5.222570979
20230519,5.625147582
20230520,5.570176711
20230521,5.771429409
20230522,5.978782768
20230523,5.466260235
20230524,5.197762044
20230525,4.990272556
20230526,4.42284198
20230527,4.965735878
20230528,4.910758724
20230529,5.148617482
20230530,5.209550791
20230531,4.800743682
20230601,4.70306609
20230602,4.501679357
20230603,4.416198899
20230604,4.501534851
20230605,4.550273121
20230606,4.26347923
20230607,4.043790515
20230608,3.848502348
20230609,3.903337091
20230610,4.000872271
20230611,4.025216275
20230612,4.019036031
20230613,3.774959332
20230614,3.634570831
20230615,3.707705461
20230616,3.963870391
20230617,4.000401056
20230618,4.006426323
20230619,4.091781124
20230620,4.128313884
20230621,4.061139596
20230622,3.817046143
20230623,3.615661504
20230624,3.676596908
20230625,3.694831873
20230626,3.713064744
20230627,3.914321631
20230628,3.633613741
20230629,3.932483297
20230630,4.206941832
20230701,4.176829268
20230702,4.140243902
20230703,3.87804878
20230704,4.036585366
20230705,3.87195122
20230706,3.853658537
20230707,3.847560976
20230708,3.920731707
20230709,4.018292683
20230710,4.37195122
20230711,4.37195122
20230712,4.262195122
20230713,4.670731707
20230714,4.963414634
20230715,4.804878049
20230716,4.664634146
20230717,4.658536585
20230718,4.780487805
20230719,4.554878049
20230720,4.68902439
20230721,4.652439024
20230722,4.682926829
20230723,4.68902439
20230724,4.896341463
20230725,5.024390244
20230726,4.731707317
20230727,4.646341463
20230728,4.384146341
20230729,4.384146341
20230730,4.817073171
20230731,4.969512195
20230801,5.195121951
20230802,5.231707317
20230803,5.384146341
20230804,5.707317073
20230805,5.347560976
20230806,5.231707317
20230807,5.62804878
20230808,5.615853659
20230809,5.445121951
20230810,5.68902439
20230811,5.524390244
20230812,5.780487805
20230813,5.932926829
20230814,6.115853659
20230815,6.298780488
20230816,6.451219512
20230817,6.536585366
20230818,6.743902439
20230819,6.896341463
20230820,6.786585366
20230821,5.975609756
20230822,6.103658537
20230823,6.408536585
20230824,6.18902439
20230825,6.4
20230826,6.664634146
20230827,6.951219512
20230828,7.219512195
20230829,7.292682927
20230830,7.195121951
20230831,7.457317073
20230901,7.298780488
20230902,7.451219512
20230903,7.37804878
20230904,6.981707317
20230905,6.701219512
20230906,7.243902439
20230907,7.237804878
20230908,7.359756098
20230909,7.006097561
20230910,7.042682927
20230911,7.847560976
20230912,7.87804878
20230913,7.81097561
20230914,7.896341463
20230915,8.134146341
20230916,8.506097561
20230917,8.25
20230918,7.835365854
20230919,8.134146341
20230920,8.036585366
20230921,7.798780488
20230922,8.31097561
20230923,8.884146341
20230924,8.847560976
20230925,9.512195122
20230926,9.37195122
20230927,9.530487805
20230928,9.664634146
20230929,9.512195122
20230930,9.347560976
20231001,9.7115509
20231002,9.790950059
20231003,9.94356748
20231004,9.485969908
20231005,8.729363945
20231006,9.443391086
20231007,9.669237123
20231008,9.980516198
20231009,9.956177752
20231010,10.79224706
20231011,11.02419945
20231012,10.55439746
20231013,10.54835944
20231014,10.298235
20231015,10.87801141
20231016,10.86587946
20231017,11.1039237
20231018,10.95143466
20231019,10.59757677
20231020,10.37796754
20231021,10.5183826
20231022,10.73202007
20231023,10.81752559
20231024,10.9884455
20231025,11.08614923
20231026,11.11063262
20231027,11.81245741
20231028,11.78811482
20231029,11.65392827
20231030,11.9713137
20231031,10.67771308
20231101,11.35512695
20231102,11.34298671
20231103,11.77020989
20231104,11.88622232
20231105,11.86187766
20231106,12.27079006
20231107,12.83836618
20231108,12.58824589
20231109,12.43575064
20231110,11.84390854
20231111,12.16738997
20231112,12.42985342
20231113,11.89902723
20231114,12.30794377
20231115,13.30266853
20231116,13.79701396
20231117,12.4484955
20231118,12.1129401
20231119,11.86281567
20231120,11.41131617
20231121,11.32595767
20231122,11.59452126
20231123,11.85088664
20231124,11.69229332
20231125,10.83804575
20231126,11.21034902
20231127,11.56434772
20231128,12.03428016
20231129,12.43098814
20231130,12.32732301
20231201,11.54630612
20231202,12.4800129
20231203,12.13225307
20231204,12.04688837
20231205,12.87685547
20231206,11.76022106
20231207,12.38881309
20231208,12.65127861
20231209,11.54684449
20231210,10.42410167
20231211,11.37611508
20231212,12.2671043
20231213,12.46854563
20231214,12.15739907
20231215,12.32222713
20231216,12.57248616
20231217,12.81663883
20231218,14.2324245
20231219,13.89686703
20231220,13.46977844
20231221,13.13422097
20231222,12.98783207
20231223,12.8414556
20231224,13.20764837
20231225,13.2565344
20231226,12.71350585
20231227,12.50609898
20231228,12.85398925
20231229,13.03713637
20231230,13.13484424
20231231,13.22642918
20240101,13.72693727
20240102,14.12054121
20240103,14.300123
20240104,13.34071341
20240105,13.37269373
20240106,13.64329644
20240107,13.65313653
20240108,14.30504305
20240109,14.31734317
20240110,14.35424354
20240111,14.1
20240112,13.92865929
20240113,13.75399754
20240114,13.17343173
20240115,13.52767527
20240116,14.33456335
20240117,14.3099631
20240118,14.3296433
20240119,14.3099631
20240120,14.29766298
20240121,14.22140221
20240122,14.25338253
20240123,13.64083641
20240124,14.21156211
20240125,13.74907749
20240126,12.19188192
20240127,12.70356704
20240128,13.9803198
20240129,14.30258302
20240130,13.65805658
20240131,13.87207872
20240201,14.25584256
20240202,14.25830259
20240203,14.21894219
20240204,14.22140221
20240205,14.27060271
20240206,13.53580247
20240207,12.30864198
20240208,14.44444444
20240209,14.35555556
20240210,14.22222222
20240211,14.31111111
20240212,14.13333333
20240213,14.50617284
20240214,14.26666667
20240215,14.26666667
20240216,14.53333333
20240217,14.26666667
20240218,14.17777778
20240219,15.11111111
20240220,13.59259259
20240221,14
20240222,14.4
20240223,12.80493827
20240224,13.23703704
20240225,14.01975309
20240226,13.44691358
20240227,13.73333333
20240228,14.37530863
20240229,13.15308642
20240301,12.745679
20240302,12.51604936
20240303,12.72839506
20240304,12.47654321
20240305,12.71604938
20240306,11.80987654
20240307,11.45925926
20240308,12.22222222
20240309,12.31604938
20240310,13.55555556
20240311,12.11358025
20240312,10.92098765
20240313,11.30123457
20240314,11.50864198
20240315,11.62962963
20240316,11.45925926
20240317,10.97037037
20240318,10.53333333
20240319,10.25432099
20240320,9.87160494
20240321,10.77283951
20240322,11.45432099
20240323,9.898765432
20240324,10.03209877
20240325,9.827160495
20240326,9.441975308
20240327,9.419753089
20240328,8.923456788
20240329,8.901234568
20240330,8.861728397
20240331,8.886419755
20240401,9.503703705
20240402,9.155555556
20240403,9.034567902
20240404,8.328395063
20240405,8.874074076
20240406,8.641975308
20240407,7.402469136
20240408,7.920606251
20240409,8.056828111
20240410,7.837308356
20240411,8.120106892
20240412,8.262812232
20240413,8.547776101
20240414,8.832739969
20240415,8.050472734
20240416,7.861161314
20240417,7.363479875
20240418,7.197883937
20240419,7.387985874
20240420,6.700614941
20240421,6.961897697
20240422,7.199396229
20240423,6.93893836
20240424,7.152755779
20240425,7.29539238
20240426,6.916357096
20240427,7.0115971
20240428,7.272845486
20240429,7.154646144
20240430,7.107593251
20240501,6.75223908
20240502,6.396919279
20240503,5.946668805
20240504,5.591383375
20240505,6.208329634
20240506,6.351000604
20240507,6.280266599
20240508,5.929227459
20240509,5.478995733
20240510,6.421503391
20240511,6.139451622
20240512,6.139864066
20240513,5.737078928
20240514,5.334293791
20240515,5.239809932
20240516,4.908171244
20240517,4.908583687
20240518,5.264694004
20240519,5.573373356
20240520,5.526320463
20240521,5.289543706
20240522,5.266240666
20240523,5.02942954
20240524,4.484351505
20240525,4.626988105
20240526,4.580003953
20240527,4.627812991
20240528,4.414751718
20240529,4.415129791
20240530,4.344395785
20240531,4.297308522
20240601,4.036816282
20240602,4.748658844
20240603,4.915079667
20240604,4.393717116
20240605,4.133224876
20240606,3.943879085
20240607,4.418601187
20240608,4.466199814
20240609,4.395765286
20240610,4.277798254
20240611,4.325839127
20240612,4.136573339
20240613,4.469148355
20240614,4.446042983
20240615,4.565128427
20240616,4.636833878
20240617,4.756071833
20240618,4.614389385
